# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 280:         6.585       53.125       5.20  EELDE
# 350:         4.936       51.566      14.90  GILZE-RIJEN
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# FXX      = Hoogste windstoot (in 0.1 m/s); 
# 
# STN,YYYYMMDD,  FXX
# 
  240,20171001,  140
  240,20171002,  150
  240,20171003,  130
  240,20171004,  150
  240,20171005,  250
  240,20171006,  170
  240,20171007,  160
  240,20171008,   90
  240,20171009,   90
  240,20171010,  120
  240,20171011,  160
  240,20171012,  140
  240,20171013,  140
  240,20171014,  100
  240,20171015,   90
  240,20171016,  110
  240,20171017,  100
  240,20171018,   70
  240,20171019,  110
  240,20171020,  160
  240,20171021,  170
  240,20171022,  160
  240,20171023,  120
  240,20171024,  140
  240,20171025,  140
  240,20171026,   90
  240,20171027,  140
  240,20171028,  200
  240,20171029,  210
  240,20171030,  100
  240,20171031,  120
  280,20171001,  120
  280,20171002,  150
  280,20171003,  140
  280,20171004,  160
  280,20171005,  260
  280,20171006,  150
  280,20171007,  120
  280,20171008,   90
  280,20171009,   80
  280,20171010,  120
  280,20171011,  150
  280,20171012,  140
  280,20171013,  130
  280,20171014,  110
  280,20171015,   90
  280,20171016,   90
  280,20171017,  130
  280,20171018,   50
  280,20171019,   60
  280,20171020,  130
  280,20171021,  130
  280,20171022,  120
  280,20171023,  140
  280,20171024,  140
  280,20171025,  140
  280,20171026,  100
  280,20171027,  130
  280,20171028,  180
  280,20171029,  250
  280,20171030,  110
  280,20171031,  110
  350,20171001,  130
  350,20171002,  130
  350,20171003,  130
  350,20171004,  130
  350,20171005,  230
  350,20171006,  130
  350,20171007,  120
  350,20171008,   70
  350,20171009,   70
  350,20171010,   90
  350,20171011,  130
  350,20171012,  140
  350,20171013,   90
  350,20171014,   70
  350,20171015,   70
  350,20171016,   80
  350,20171017,   60
  350,20171018,   50
  350,20171019,   80
  350,20171020,  140
  350,20171021,  140
  350,20171022,  160
  350,20171023,  110
  350,20171024,   80
  350,20171025,  110
  350,20171026,   50
  350,20171027,  120
  350,20171028,  160
  350,20171029,  200
  350,20171030,   80
  350,20171031,   80
  380,20171001,  120
  380,20171002,  140
  380,20171003,  110
  380,20171004,  120
  380,20171005,  170
  380,20171006,   90
  380,20171007,  150
  380,20171008,   80
  380,20171009,   80
  380,20171010,   90
  380,20171011,  120
  380,20171012,  110
  380,20171013,  110
  380,20171014,   90
  380,20171015,  100
  380,20171016,   90
  380,20171017,   60
  380,20171018,   80
  380,20171019,   90
  380,20171020,  160
  380,20171021,  140
  380,20171022,  150
  380,20171023,   90
  380,20171024,  100
  380,20171025,  110
  380,20171026,   60
  380,20171027,  100
  380,20171028,  130
  380,20171029,  150
  380,20171030,   60
  380,20171031,   90
