# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TN,   TX
# 
  270,20160101,   50,    3,   90
  270,20160102,   34,   21,   45
  270,20160103,   11,   -2,   21
  270,20160104,  -18,  -32,   13
  270,20160105,  -21,  -33,  -12
  270,20160106,  -34,  -42,  -26
  270,20160107,   10,  -26,   65
  270,20160108,   55,   21,   83
  270,20160109,   42,    9,   62
  270,20160110,   57,   37,   73
  270,20160111,   42,   28,   58
  270,20160112,   53,   31,   76
  270,20160113,   41,   14,   71
  270,20160114,   24,    6,   53
  270,20160115,   20,   -7,   46
  270,20160116,   21,   -5,   47
  270,20160117,   -4,  -39,   32
  270,20160118,  -26,  -43,   -5
  270,20160119,   -5,  -45,   25
  270,20160120,    9,  -38,   46
  270,20160121,  -16,  -46,    0
  270,20160122,    0,  -26,   33
  270,20160123,   59,   33,   89
  270,20160124,   68,   45,   96
  270,20160125,   98,   69,  131
  270,20160126,   75,   47,   96
  270,20160127,  101,   78,  116
  270,20160128,   60,   43,   78
  270,20160129,   89,   53,  103
  270,20160130,   67,   28,   93
  270,20160131,   56,   41,   71
  270,20160201,   97,   66,  107
  270,20160202,   78,   63,   91
  270,20160203,   50,   34,   65
  270,20160204,   50,   39,   64
  270,20160205,   75,   46,   96
  270,20160206,   89,   83,  100
  270,20160207,   80,   63,  103
  270,20160208,   76,   58,   88
  270,20160209,   54,   26,   75
  270,20160210,   52,   20,   77
  270,20160211,   37,    0,   75
  270,20160212,   13,   -7,   42
  270,20160213,    9,  -13,   33
  270,20160214,   29,   16,   34
  270,20160215,   20,  -15,   54
  270,20160216,    8,  -36,   55
  270,20160217,   -9,  -37,   26
  270,20160218,    4,  -30,   19
  270,20160219,   25,  -32,   67
  270,20160220,   68,   44,   86
  270,20160221,   91,   67,  108
  270,20160222,   58,   29,   99
  270,20160223,   39,    3,   74
  270,20160224,   20,  -10,   60
  270,20160225,   15,  -17,   56
  270,20160226,   18,  -25,   61
  270,20160227,    9,  -41,   66
  270,20160228,   27,  -43,   70
  270,20160229,   22,  -37,   70
  270,20160301,   17,  -33,   73
  270,20160302,   46,   14,   77
  270,20160303,   26,    1,   67
  270,20160304,   18,    7,   31
  270,20160305,   20,  -17,   67
  270,20160306,   23,  -26,   63
  270,20160307,   22,  -23,   69
  270,20160308,   40,    9,   73
  270,20160309,   44,   21,   82
  270,20160310,   32,   -1,   67
  270,20160311,   15,  -30,   52
  270,20160312,   26,  -48,   86
  270,20160313,   19,  -37,   75
  270,20160314,   39,  -21,   89
  270,20160315,   55,   21,   89
  270,20160316,   41,   10,   92
  270,20160317,   40,  -39,  104
  270,20160318,   57,   40,   87
  270,20160319,   59,   47,   73
  270,20160320,   63,   27,   79
  270,20160321,   68,   59,   82
  270,20160322,   73,   58,   99
  270,20160323,   67,   41,   97
  270,20160324,   68,   49,   90
  270,20160325,   64,    7,   93
  270,20160326,   89,    3,  148
  270,20160327,   85,   60,  114
  270,20160328,   84,   64,  116
  270,20160329,   70,   47,  101
  270,20160330,   61,   27,  100
  270,20160331,   58,   13,  101
  270,20160401,   67,  -21,  119
  270,20160402,   95,   54,  132
  270,20160403,  122,   85,  168
  270,20160404,  118,   64,  154
  270,20160405,   98,   78,  122
  270,20160406,   75,   47,  112
  270,20160407,   73,   58,   97
  270,20160408,   72,   35,  109
  270,20160409,   96,   37,  145
  270,20160410,   91,   67,  128
  270,20160411,  114,   68,  156
  270,20160412,  107,   81,  154
  270,20160413,  103,   49,  151
  270,20160414,  100,   46,  153
  270,20160415,   93,   52,  112
  270,20160416,   75,   32,  108
  270,20160417,   59,   12,  103
  270,20160418,   89,   44,  122
  270,20160419,   83,   42,  111
  270,20160420,   64,   16,  108
  270,20160421,   63,  -20,  124
