# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TN,   TX
# 
  240,20160101,   52,   11,   80
  240,20160102,   56,   46,   65
  240,20160103,   70,   53,   85
  240,20160104,   59,   43,   72
  240,20160105,   66,   44,   77
  240,20160106,   26,   18,   44
  240,20160107,   60,   28,   83
  240,20160108,   56,    7,   90
  240,20160109,   55,    8,   74
  240,20160110,   65,   44,   86
  240,20160111,   50,   24,   72
  240,20160112,   65,   51,   83
  240,20160113,   47,   14,   72
  240,20160114,   35,   15,   59
  240,20160115,   22,  -15,   43
  240,20160116,   30,   -3,   59
  240,20160117,   -8,  -46,   25
  240,20160118,  -29,  -61,   -2
  240,20160119,  -16,  -63,   23
  240,20160120,   20,  -33,   52
  240,20160121,  -10,  -43,   10
  240,20160122,   13,  -20,   73
  240,20160123,   72,   33,  100
  240,20160124,   80,   51,  112
  240,20160125,  104,   81,  133
  240,20160126,   88,   41,  111
  240,20160127,  107,   83,  117
  240,20160128,   64,   43,   86
  240,20160129,   92,   60,  109
  240,20160130,   74,   50,   97
  240,20160131,   71,   45,  104
  240,20160201,  113,  103,  122
  240,20160202,   87,   64,  108
  240,20160203,   51,   25,   74
  240,20160204,   57,   25,   79
  240,20160205,   88,   51,  108
  240,20160206,   94,   84,  104
  240,20160207,   83,   61,  117
  240,20160208,   85,   66,   99
  240,20160209,   56,   39,   79
  240,20160210,   52,   26,   78
  240,20160211,   40,   -2,   85
  240,20160212,   24,  -13,   59
  240,20160213,   17,  -17,   40
  240,20160214,   24,    9,   32
  240,20160215,   27,  -26,   62
  240,20160216,    2,  -54,   59
  240,20160217,  -10,  -48,   29
  240,20160218,   10,  -29,   27
  240,20160219,   37,  -21,   87
  240,20160220,   83,   50,  106
  240,20160221,  104,   85,  118
  240,20160222,   66,   22,  107
  240,20160223,   40,    6,   84
  240,20160224,   21,  -12,   70
  240,20160225,   17,  -15,   60
  240,20160226,   18,   -5,   54
  240,20160227,   27,   -7,   61
  240,20160228,   28,  -10,   65
  240,20160229,   23,  -20,   68
  240,20160301,   30,  -37,   87
  240,20160302,   52,   10,   87
  240,20160303,   36,    1,   85
  240,20160304,   17,  -21,   33
  240,20160305,   21,  -37,   75
  240,20160306,   26,  -18,   72
  240,20160307,   29,   -4,   71
  240,20160308,   38,   -3,   78
  240,20160309,   51,   25,   82
  240,20160310,   43,   -8,   87
  240,20160311,   29,    6,   55
  240,20160312,   37,  -15,   97
  240,20160313,   39,  -10,   86
  240,20160314,   41,   -4,   91
  240,20160315,   52,   -9,   86
  240,20160316,   49,   11,   96
  240,20160317,   60,   14,  110
  240,20160318,   56,   28,   72
  240,20160319,   64,   52,   83
  240,20160320,   67,   44,   96
  240,20160321,   71,   57,   91
  240,20160322,   76,   46,  104
  240,20160323,   77,   64,  102
  240,20160324,   79,   61,  109
  240,20160325,   66,    9,  101
  240,20160326,   94,    4,  149
  240,20160327,   85,   62,  134
  240,20160328,   92,   71,  121
  240,20160329,   82,   59,  118
  240,20160330,   80,   52,  110
  240,20160331,   78,   46,  122
  240,20160401,   82,   23,  134
  240,20160402,  106,   74,  129
  240,20160403,  145,  120,  192
  240,20160404,  125,   96,  150
  240,20160405,   99,   54,  124
  240,20160406,   83,   47,  116
  240,20160407,   77,   62,  101
  240,20160408,   77,   28,  126
  240,20160409,   98,   36,  153
  240,20160410,  103,   59,  139
  240,20160411,  136,   84,  185
  240,20160412,  114,   68,  164
  240,20160413,  103,   52,  158
  240,20160414,  111,   47,  166
  240,20160415,  102,   83,  132
  240,20160416,   80,   42,  113
  240,20160417,   64,   25,  119
  240,20160418,   90,   26,  127
  240,20160419,   93,   40,  134
  240,20160420,   81,   18,  127
  240,20160421,   96,   36,  148
  240,20160422,   86,   58,  119
  240,20160423,   63,   27,  102
  240,20160424,   44,   14,   86
  240,20160425,   49,    9,   88
  240,20160426,   52,   27,   80
  240,20160427,   58,   29,   99
  240,20160428,   53,    4,   89
  240,20160429,   77,   46,  116
  240,20160430,   73,   19,  110
  240,20160501,   80,    8,  141
  240,20160502,  112,   22,  172
  240,20160503,   95,   55,  131
  240,20160504,  106,   32,  162
  240,20160505,  135,   57,  188
  240,20160506,  171,  101,  233
  240,20160507,  201,  110,  260
  240,20160508,  208,  154,  257
  240,20160509,  205,  153,  251
  240,20160510,  190,  158,  222
  240,20160511,  202,  158,  254
  240,20160512,  201,  153,  251
  240,20160513,  149,   83,  209
  240,20160514,   86,   67,  122
  240,20160515,   84,   50,  122
  240,20160516,   93,   48,  135
  240,20160517,  124,   76,  173
  240,20160518,  129,   81,  179
  240,20160519,  133,  100,  174
  240,20160520,  137,  109,  175
  240,20160521,  174,  109,  228
  240,20160522,  147,  122,  187
  240,20160523,  119,  103,  136
  240,20160524,  113,   97,  145
  240,20160525,  116,   81,  146
  240,20160526,  136,   69,  182
  240,20160527,  157,  111,  201
  240,20160528,  177,  118,  229
  240,20160529,  171,  146,  204
  240,20160530,  161,  144,  198
  240,20160531,  190,  152,  228
  240,20160601,  188,  141,  244
  240,20160602,  138,  123,  154
  240,20160603,  152,  125,  193
  240,20160604,  205,  116,  270
  240,20160605,  190,  128,  244
  240,20160606,  181,  125,  238
  240,20160607,  194,  148,  248
  240,20160608,  157,  125,  207
  240,20160609,  145,  108,  193
  240,20160610,  160,  109,  203
  240,20160611,  159,  123,  199
  240,20160612,  171,  138,  219
  240,20160613,  156,  140,  187
  240,20160614,  152,  117,  186
  240,20160615,  142,  111,  174
  240,20160616,  159,  111,  203
  240,20160617,  154,  116,  198
  240,20160618,  139,  107,  176
  240,20160619,  155,  120,  196
  240,20160620,  155,  138,  165
  240,20160621,  165,  126,  209
  240,20160622,  198,  123,  250
  240,20160623,  210,  179,  271
  240,20160624,  185,  130,  216
  240,20160625,  154,  118,  189
  240,20160626,  158,  119,  193
  240,20160627,  155,  124,  184
  240,20160628,  161,   98,  210
  240,20160629,  160,  129,  210
  240,20160630,  161,  143,  190
  240,20160701,  163,  142,  179
  240,20160702,  155,  122,  182
  240,20160703,  154,  103,  194
  240,20160704,  174,  100,  229
  240,20160705,  154,  122,  178
  240,20160706,  149,   98,  189
  240,20160707,  170,  103,  221
  240,20160708,  172,  140,  214
  240,20160709,  192,  136,  237
  240,20160710,  202,  156,  255
  240,20160711,  185,  160,  218
  240,20160712,  173,  121,  218
  240,20160713,  152,  112,  194
  240,20160714,  149,  101,  190
  240,20160715,  168,  108,  212
  240,20160716,  194,  173,  219
  240,20160717,  193,  153,  231
  240,20160718,  200,  141,  250
  240,20160719,  227,  129,  289
  240,20160720,  247,  180,  330
  240,20160721,  206,  173,  254
  240,20160722,  212,  173,  258
  240,20160723,  212,  181,  256
  240,20160724,  204,  166,  246
  240,20160725,  185,  140,  222
  240,20160726,  192,  138,  239
  240,20160727,  180,  161,  210
  240,20160728,  186,  148,  224
  240,20160729,  186,  158,  212
  240,20160730,  184,  162,  223
  240,20160731,  166,  132,  202
  240,20160801,  170,  139,  206
  240,20160802,  168,  134,  186
  240,20160803,  192,  174,  216
  240,20160804,  182,  145,  213
  240,20160805,  173,  139,  212
  240,20160806,  170,  130,  217
  240,20160807,  187,  132,  235
  240,20160808,  173,  128,  199
  240,20160809,  143,  113,  183
  240,20160810,  130,   88,  175
  240,20160811,  147,   91,  170
  240,20160812,  186,  155,  219
  240,20160813,  178,  147,  205
  240,20160814,  169,  113,  213
  240,20160815,  166,  100,  215
  240,20160816,  169,  127,  208
  240,20160817,  178,  128,  227
  240,20160818,  179,  113,  229
  240,20160819,  184,  115,  240
  240,20160820,  181,  147,  225
  240,20160821,  170,  137,  203
  240,20160822,  183,  159,  218
  240,20160823,  213,  153,  270
  240,20160824,  239,  173,  304
  240,20160825,  247,  171,  309
  240,20160826,  209,  173,  242
  240,20160827,  211,  170,  250
  240,20160828,  202,  179,  230
  240,20160829,  172,  120,  211
  240,20160830,  172,  109,  230
  240,20160831,  184,  111,  246
  240,20160901,  180,  129,  222
  240,20160902,  174,  126,  214
  240,20160903,  187,  163,  222
  240,20160904,  181,  161,  208
  240,20160905,  175,  135,  218
  240,20160906,  186,  144,  228
  240,20160907,  200,  141,  261
  240,20160908,  200,  144,  270
  240,20160909,  180,  127,  229
  240,20160910,  195,  131,  255
  240,20160911,  191,  161,  217
  240,20160912,  218,  179,  276
  240,20160913,  242,  182,  305
  240,20160914,  237,  185,  310
  240,20160915,  220,  168,  276
  240,20160916,  178,  152,  212
  240,20160917,  175,  143,  214
  240,20160918,  173,  148,  205
  240,20160919,  161,  131,  194
  240,20160920,  157,  111,  200
  240,20160921,  159,  103,  209
  240,20160922,  158,  104,  208
  240,20160923,  146,   94,  194
  240,20160924,  163,  100,  234
  240,20160925,  161,  116,  231
  240,20160926,  143,   96,  186
  240,20160927,  151,   77,  208
  240,20160928,  183,  158,  210
  240,20160929,  158,  134,  178
  240,20160930,  141,  108,  186
  240,20161001,  131,   89,  186
  240,20161002,  124,   96,  150
  240,20161003,  147,  121,  189
  240,20161004,  134,  103,  176
  240,20161005,  105,   73,  139
  240,20161006,  105,   53,  136
  240,20161007,  125,  110,  149
  240,20161008,  113,   64,  148
  240,20161009,   90,   36,  150
  240,20161010,   88,   51,  136
  240,20161011,   93,   25,  137
  240,20161012,   94,   75,  111
  240,20161013,   91,   79,  108
  240,20161014,   98,   75,  124
  240,20161015,  110,   90,  142
  240,20161016,  134,   94,  190
  240,20161017,  127,   87,  167
  240,20161018,  104,   77,  129
  240,20161019,   99,   62,  131
  240,20161020,   96,   65,  130
  240,20161021,   82,   19,  141
  240,20161022,   69,   21,  104
  240,20161023,   58,    5,  120
  240,20161024,   78,   48,   92
  240,20161025,   90,   77,  102
  240,20161026,  101,   45,  134
  240,20161027,  118,   79,  148
  240,20161028,  132,   82,  155
  240,20161029,   98,   53,  156
  240,20161030,   94,   55,  144
  240,20161031,   97,   45,  159
  240,20161101,   92,   56,  147
  240,20161102,   74,   33,  121
  240,20161103,   74,   28,  120
  240,20161104,   79,   68,   98
  240,20161105,   74,   42,  111
  240,20161106,   68,   26,  103
  240,20161107,   49,    8,   69
  240,20161108,   16,  -24,   46
  240,20161109,   32,    6,   44
  240,20161110,   42,   25,   52
  240,20161111,   26,  -21,   61
  240,20161112,   24,  -18,   52
  240,20161113,   36,   -3,   53
  240,20161114,   37,  -12,   76
  240,20161115,  112,   76,  134
  240,20161116,  120,   92,  141
  240,20161117,   91,   68,  113
  240,20161118,   62,   30,   88
  240,20161119,   55,   42,   87
  240,20161120,   77,   47,  107
  240,20161121,  116,   73,  138
  240,20161122,  102,   53,  130
  240,20161123,   83,   48,  107
  240,20161124,   69,   39,   88
  240,20161125,   44,    8,   71
  240,20161126,   24,  -24,   73
  240,20161127,   69,   27,   97
  240,20161128,   10,  -23,   48
  240,20161129,  -14,  -56,   44
  240,20161130,   36,  -50,   96
  240,20161201,   91,   61,  102
  240,20161202,   63,   -6,   96
  240,20161203,   16,  -26,   79
  240,20161204,   -5,  -38,   42
  240,20161205,  -10,  -49,   40
  240,20161206,   11,  -41,   54
  240,20161207,   61,   29,   90
  240,20161208,   79,   56,  112
  240,20161209,   94,   70,  110
  240,20161210,   81,   56,   96
  240,20161211,   86,   58,  106
  240,20161212,   56,   13,   81
  240,20161213,   66,   56,   75
  240,20161214,   74,   57,   87
  240,20161215,   64,   51,   76
  240,20161216,   54,   33,   78
  240,20161217,   65,   31,   91
  240,20161218,   58,   19,  102
  240,20161219,   50,   13,   84
  240,20161220,    1,  -29,   37
  240,20161221,   42,   -7,   66
  240,20161222,   56,   33,   77
  240,20161223,   60,   30,   85
  240,20161224,   86,   72,   99
  240,20161225,  106,   88,  124
  240,20161226,   82,   61,  116
  240,20161227,   65,   23,   92
  240,20161228,   10,  -17,   33
  240,20161229,  -18,  -34,   -3
  240,20161230,    4,  -33,   41
  240,20161231,   37,   27,   49
